Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
3.2400      -219590.290  -219599.388        9.097   205.2
3.2500      -219590.293  -219599.305        9.012   203.3
3.2600      -219590.292  -219599.414        9.122   205.8
3.2700      -219590.288  -219599.353        9.065   204.5
3.2800      -219590.287  -219599.066        8.779   198.0
3.2900      -219590.293  -219599.731        9.439   212.9
3.3000      -219590.287  -219599.738        9.450   213.2
3.3100      -219590.281  -219599.864        9.582   216.1
3.3200      -219590.289  -219599.882        9.594   216.4
3.3300      -219590.295  -219599.736        9.441   212.9
3.3400      -219590.290  -219600.051        9.761   220.2
3.3500      -219590.285  -219600.088        9.804   221.1
3.3600      -219590.288  -219599.600        9.312   210.0
3.3700      -219590.293  -219599.782        9.489   214.0
3.3800      -219590.285  -219599.370        9.085   204.9
3.3900      -219590.286  -219599.322        9.036   203.8
3.4000      -219590.293  -219599.793        9.500   214.3
3.4100      -219590.290  -219599.538        9.248   208.6
3.4200      -219590.290  -219599.478        9.188   207.2
3.4300      -219590.294  -219599.443        9.149   206.3
3.4400      -219590.294  -219599.266        8.972   202.4
3.4500      -219590.292  -219599.558        9.266   209.0
3.4600      -219590.287  -219599.600        9.313   210.1
3.4700      -219590.290  -219599.554        9.264   208.9
3.4800      -219590.293  -219599.544        9.251   208.7
3.4900      -219590.290  -219599.625        9.335   210.5
3.5000      -219590.285  -219599.403        9.118   205.7
3.5100      -219590.292  -219599.413        9.121   205.7
3.5200      -219590.289  -219599.276        8.987   202.7
3.5300      -219590.284  -219599.011        8.727   196.8
3.5400      -219590.295  -219599.907        9.612   216.8
3.5500      -219590.294  -219599.405        9.110   205.5
3.5600      -219590.290  -219599.644        9.354   211.0
3.5700      -219590.286  -219599.377        9.091   205.0
3.5800      -219590.292  -219599.324        9.033   203.7
3.5900      -219590.289  -219599.280        8.992   202.8
3.6000      -219590.289  -219599.418        9.129   205.9
3.6100      -219590.286  -219599.272        8.986   202.7
3.6200      -219590.285  -219599.022        8.737   197.1
3.6300      -219590.300  -219599.696        9.397   211.9
3.6400      -219590.296  -219599.648        9.352   210.9
3.6500      -219590.289  -219599.709        9.421   212.5
3.6600      -219590.289  -219599.847        9.557   215.6
3.6700      -219590.294  -219599.804        9.510   214.5
3.6800      -219590.296  -219599.445        9.149   206.4
3.6900      -219590.291  -219599.425        9.134   206.0
3.7000      -219590.290  -219599.526        9.236   208.3
3.7100      -219590.293  -219599.477        9.184   207.1
3.7200      -219590.288  -219599.204        8.916   201.1
3.7300      -219590.288  -219599.535        9.247   208.6
3.7400      -219590.290  -219599.713        9.423   212.5
3.7500      -219590.294  -219600.206        9.911   223.6
3.7600      -219590.290  -219599.552        9.262   208.9
3.7700      -219590.288  -219599.465        9.177   207.0
3.7800      -219590.293  -219599.772        9.480   213.8
3.7900      -219590.289  -219599.165        8.876   200.2
3.8000      -219590.285  -219599.633        9.348   210.8
3.8100      -219590.282  -219599.384        9.103   205.3
3.8200      -219590.286  -219599.278        8.992   202.8
3.8300      -219590.291  -219599.228        8.936   201.6
3.8400      -219590.289  -219599.565        9.276   209.2
3.8500      -219590.292  -219599.623        9.330   210.4
3.8600      -219590.298  -219599.904        9.606   216.7
3.8700      -219590.285  -219599.049        8.764   197.7
